Acronym, Full-form
CBER,Center for Biologics Evaluation and Research (FDA)                                                       
CDER,Center for Drug Evaluation and Research (FDA)                                                            
CDRH,Center for Devices and Radiological Health (FDA)                                                         
CFSAN,Center for Food Safety and Applied Nutrition (FDA)                                                      
CIAC,Computer Incident Advisory Capability (U.S. Department of Energy)                                        
CIOMS,Council for International Organizations of Medical Sciences (WHO)                                       
CIT,Center for Information Technology (NIH)                                                                   
CMO,contract management organization                                                                          
CRO,contract research organization                                                                            
CSDD,Center for the Study of Drug Development (Tufts University)                                              
CSR,Center for Scientific Review (NIH)                                                                        
CVM,Center for Veterinary Medicine (FDA)                                                                      
DEA,Drug Enforcement Administration (U.S. Department of Justice)                                              
DHHS,Department of Health and Human Services (U.S.)                                                           
DoD,Department of Defense (U.S.)                                                                              
DOE,Department of Energy (U.S.)                                                                               
DOJ,Department of Justice (U.S.)                                                                              
GPO,group purchasing organization                                                                             
HHS,Health and Human Services (U.S. Department of)                                                            
HMO,health maintenance organization                                                                           
ICAO,International Civil Aviation Organization                                                                
IPRO,Independent Pharmaceutical Research Organization                                                         
ISO,International Organization for Standardization                                                            
JCAHO,Joint Commission on Accreditation of Health Care Organizations                                          
KOS,knowledge organization system                                                                             
MHW,Ministry of Health and Welfare (Japan's equivalent to the FDA)                                            
ATF,Bureau of Alcohol, Tobacco and Firearms (U.S. Department of Justice)                                      
BATF,Bureau of Alcohol, Tobacco and Firearms (U.S. Department of Justice)                                     
JMO,Japanese Maintenance Organization                                                                         
MCO,managed care organization                                                                                 
MEMO,Medicines Evaluation and Monitoring Organization                                                         
MSSO,Maintenance and Support Services Organization                                                            
NCBI,National Center for Biotechnology Information (NCI)                                                      
NCFST,National Center for Food Safety and Technology                                                          
NIDRR,National Institute on Disability and Rehabilitation Research (U.S. Department of Education)             
USBR,Bureau of Reclamation (U.S. Department of the Interior)                                                  
USCS,United States Customs Service (U.S. Department of Homeland Security)                                     
USPTO,United States Patent and Trademark Office (U.S. Department of Commerce)                                 
NGO,non-governmental organization                                                                             
PTO,Patent and Trademark Office (U.S. Department of Commerce)                                                 
SMO,site management organization                                                                              
TMO,trial management organization                                                                             
BEA,Bureau of Economic Analysis (U.S. Department of Commerce)                                                 
BfArM,Bundesinstitut fur Arzneimittel und Medizinprodukte (German Ministry of Health)                         
CBP,Customs and Border Protection (U.S. Department of Homeland Security)                                      
CCR,Center for Cancer Research (NCI)                                                                          
CEDR,Comprehensive Epidemiologic Data Resource (U.S. Department of Energy)                                    
CHAMPVA,Civilian Health and Medical Program of the Department of Veterans Affairs                             
NCCAM,National Center for Complementary and Alternative Medicine (NIH)                                        
NCCDPHP,National Center for Chronic Disease Prevention and Health Promotion (CDC)                             
NCEH,National Center for Environmental Health (CDC)                                                           
NCHM,National Center for Health Marketing (CDC)                                                               
NCHS,National Center for Health Statistics (CDC)                                                              
NCHSTP,National Center for HIV, STD, and TB Prevention (CDC)                                                  
NCID,National Center for Infectious Diseases (CDC)                                                            
NCIE,National Center for Import and Export (USDA)                                                             
NCIPC,National Center for Injury Prevention and Control (CDC)                                                 
NCPHI,National Center for Public Health Informatics (CDC)                                                     
NCRR,National Center for Research Resources (NIH)                                                             
NCTR,National Center for Toxicological Research (FDA)                                                         
NHW,National Health and Welfare Department (Canada's equivalent of DHHS)                                      
NIST,National Institute of Standards and Technology (U.S. Department of Commerce)                             
OSHA,Occupational Safety and Health Administration (U.S. Department of Labor)                                 
UNESCO,United Nations Educational, Scientific and Cultural Organization                                       
USDA,Department of Agriculture (U.S.)                                                                         
VA,Department of Veterans Affairs (U.S.)                                                                      
CMHS,Center for Mental Health Services (SAMHSA)                                                               
CMP/ HMO,comprehensive medical plan/health maintenance organization                                           
CNPP,Center for Nutrition Policy and Promotion (USDA)                                                         
CRC,Civil Rights Center (U.S. Department of Labor)                                                            
CSAP,Center for Substance Abuse Prevention (SAMHSA)                                                           
CSAT,Center for Substance Abuse Treatment (SAMHSA)                                                            
DD,Department of Drugs (Swedish Regulatory Agency)                                                            
DHS,Department of Homeland Security (U.S.)                                                                    
DOC,Department of Commerce (U.S.)                                                                             
DOI,Department of the Interior (U.S.)                                                                         
DOS,Department of State (U.S.)                                                                                
EAR,Export Administration Regulations (U.S. Department of Commerce)                                           
FAO,Food and Agriculture Organization of the United Nations                                                   
HCO,health care organization                                                                                  
IA,Import Administration (U.S. Department of Commerce)                                                        
CoE,Center of Excellence                                                                                      
FMS,Financial Management Service (U.S. Department of the Treasury)                                            
MEO,most efficient organization                                                                               
SDO,Standards Development Organization                                                                        
NCHGR,National Center for Human Genome Research (NIH)                                                         
NCNR,National Center for Nursing Research (NIH)                                                               
IRS,Internal Revenue Service (U.S. Department of the Treasury)                                                
DHSS,Department of Health and Social Security (U.K.)                                                          
PAHO,Pan American Health Organization (WHO)                                                                   
DOT,Department of Transportation (U.S.)                                                                       
FAA,Federal Aviation Administration (U.S. Department of Transportation)                                       
FBI,Federal Bureau of Investigation (U.S. Department of Justice)                                              
NASDA,National Association of State Departments of Agriculture                                                
BIA,Bureau of Indian Affairs (U.S. Department of the Interior)                                                
BLM,Bureau of Land Management (U.S. Department of the Interior)                                               
DOEd,Department of Education (U.S.)                                                                           
DUSM,Deputy United States Marshal (U.S. Department of Justice)                                                
CRO,clinical research organization                                                                            
FPS,Federal Protective Service (Department of Homeland Security)                                              
